file,trait_name
DEFAULT.PNG,Default clothes
01.PNG,Beige adventurer jacket
02.PNG,Pink adventurer jacket
03.PNG,Black adventurer jacket
04.PNG,Blue adventurer jacket 
05.PNG,Red adventurer jacket
06.PNG,Yellow adventurer jacket
07.PNG,Green adventurer jacket
08.PNG,White adventurer jacket
09.PNG,Purple adventurer jacket
10.PNG,Burned adventurer jacket
11.PNG,Icy adventurer jacket
12.PNG,Rainbow adventurer jacket
13.PNG,Red vagabond jacket
14.PNG,Blue vagabond jacket
15.PNG,Black vagabond jacket
16.PNG,White vagabond jacket
17.PNG,Pink vagabond jacket
18.PNG,Purple vagabond jacket
19.PNG,Green vagabond jacket
20.PNG,Rainbow vagabond jacket
21.PNG,Burned vagabond jacket
22.PNG,Yellow vagabond jacket
23.PNG,Black cyber jacket
24.PNG,Red cyber jacket
25.PNG,Yellow cyber jacket
26.PNG,Blue cyber jacket
27.PNG,Green cyber jacket
28.PNG,Burned cyber jacket
29.PNG,Flaming cyber jacket
30.PNG,Ocean cyber jacket
31.PNG,White cyber jacket
32.PNG,Blue distinguished coat
33.PNG,Black distinguished coat
34.PNG,Red distinguished coat
35.PNG,Green distinguished coat
36.PNG,Marine distinguished coat
37.PNG,White distinguished coat
38.PNG,Beige distinguished coat
39.PNG,Black sleeveless dress
40.PNG,White sleeveless dress
41.PNG,Blue sleeveless dress
42.PNG,Red sleeveless dress
43.PNG,Pink sleeveless dress
44.PNG,Green sleeveless dress
45.PNG,Yellow sleeveless dress
46.PNG,Black tactical tank top
47.PNG,White tactical tank top
48.PNG,Red tactical tank top
49.PNG,Purple tactical tank top
50.PNG,Blue tactical tank top
51.PNG,Green tactical tank top
52.PNG,Pink tactical tank top
53.PNG,Grey mecha fit
54.PNG,Red mecha fit
55.PNG,Yellow mecha fit
56.PNG,Black mecha fit
57.PNG,Green mecha fit
58.PNG,White mecha fit
59.PNG,Rainbow mecha fit
60.PNG,Blue mecha fit
61.PNG,Black stripe jacket
62.PNG,Red stripe jacket
63.PNG,Blue stripe jacket
64.PNG,White stripe jacket
65.PNG,Green stripe jacket
66.PNG,Pink stripe jacket
67.PNG,Flaming stripe jacket
68.PNG,Green long dress and fur
69.PNG,Black long dress and fur
70.PNG,White long dress and fur
71.PNG,Red long dress and fur
72.PNG,Flaming long dress and fur
73.PNG,Brown long dress and fur
74.PNG,Blue long dress and fur
75.PNG,Pink long dress and fur
76.PNG,Rainbow tech kimono
77.PNG,Black tech kimono
78.PNG,White tech kimono
79.PNG,Red tech kimono
80.PNG,Poison tech kimono
81.PNG,Flaming tech kimono
82.PNG,Blue tech kimono
83.PNG,Black utility jacket
84.PNG,Grey utility jacket
85.PNG,White utility jacket
86.PNG,Red utility jacket
87.PNG,Pink utility jacket
88.PNG,Blue utility jacket
89.PNG,Green utility jacket
90.PNG,Brown utility jacket
