file,trait_name
DEFAULT.PNG,Default eyes
01.PNG,Blue curious eyes
02.PNG,Green curious eyes
03.PNG,Yellow curious eyes
04.PNG,Pink curious eyes
05.PNG,Purple curious eyes
06.PNG,Red curious eyes
07.PNG,Rainbow curious eyes
08.PNG,Galaxy curious eyes
09.PNG,Green foxy eyes
10.PNG,Blue foxy eyes
11.PNG,Purple foxy eyes
12.PNG,Pink foxy eyes
13.PNG,Red foxy eyes
14.PNG,Yellow foxy eyes
15.PNG,Rainbow foxy eyes
16.PNG,Blue and red foxy eyes
17.PNG,Black and white foxy eyes
18.PNG,Red neutral eyes
19.PNG,Yellow neutral eyes
20.PNG,Green neutral eyes
21.PNG,Blue neutral eyes
22.PNG,Purple neutral eyes
23.PNG,Pink neutral eyes
24.PNG,White neutral eyes
25.PNG,Black neutral eyes
26.PNG,Yellow wiking eyes
27.PNG,Green wiking eyes
28.PNG,Blue wiking eyes
29.PNG,Purple wiking eyes
30.PNG,Pink wiking eyes
31.PNG,Red wiking eyes
32.PNG,Rainbow wiking eyes
33.PNG,Flaming wiking eyes
34.PNG,Happy closed eyes
35.PNG,Neutral closed eyes
36.PNG,Red hooded eyes
37.PNG,Yellow hooded eyes
38.PNG,Green hooded eyes
39.PNG,Blue hooded eyes
40.PNG,Purple hooded eyes
41.PNG,Pink hooded eyes
42.PNG,White hooded eyes
43.PNG,Snowy hooded eyes
44.PNG,Blue charming eyes
45.PNG,Purple charming eyes
46.PNG,Pink charming eyes
47.PNG,Red charming eyes
48.PNG,Green charming eyes
49.PNG,Yellow charming eyes
