file,trait_name
DEFAULT.PNG,Default hair
01.PNG,Blond two tailed hair
02.PNG,Pink two tailed hair
03.PNG,White two tailed hair
04.PNG,Blue two tailed hair
05.PNG,Red two tailed hair
06.PNG,Ginger two tailed hair
07.PNG,Green two tailed hair
08.PNG,Brown two tailed hair
09.PNG,Black two tailed hair
10.PNG,Flaming two tailed hair
11.PNG,Rainbow two tailed hair
12.PNG,Blond short hair
13.PNG,Pink short hair
14.PNG,White short hair
15.PNG,Blue short hair
16.PNG,Red short hair
17.PNG,Ginger short hair
18.PNG,Green short hair
19.PNG,Brown short hair
20.PNG,Black short hair
21.PNG,Poison short hair
22.PNG,Coral short hair
23.PNG,Blond straight long hair
24.PNG,Pink straight long hair
25.PNG,White straight long hair
26.PNG,Blue straight long hair
27.PNG,Red straight long hair
28.PNG,Ginger straight long hair
29.PNG,Green straight long hair
30.PNG,Brown straight long hair
31.PNG,Black straight long hair
32.PNG,Purple straight long hair
33.PNG,Rainbow straight long hair
34.PNG,Blond low ponytail
35.PNG,Pink low ponytail
36.PNG,White low ponytail
37.PNG,Blue low ponytail
38.PNG,Red low ponytail
39.PNG,Ginger low ponytail
40.PNG,Green low ponytail
41.PNG,Brown low ponytail
42.PNG,Black low ponytail
43.PNG,Rainbow low ponytail
44.PNG,Minty low ponytail
45.PNG,Blond double bun hair
46.PNG,Pink double bun hair
47.PNG,White double bun hair
48.PNG,Blue double bun hair
49.PNG,Red double bun hair
50.PNG,Ginger double bun hair
51.PNG,Green double bun hair
52.PNG,Brown double bun hair
53.PNG,Black double bun hair
54.PNG,Purple double bun hair
55.PNG,Rainbow double bun hair
56.PNG,Lava double bun hair
57.PNG,Blond long fringe
58.PNG,Pink long fringe
59.PNG,White long fringe
60.PNG,Blue long fringe
61.PNG,Red long fringe
62.PNG,Ginger long fringe
63.PNG,Green long fringe
64.PNG,Brown long fringe
65.PNG,Black long fringe
66.PNG,Black and white long fringe
67.PNG,Rainbow long fringe
68.PNG,Blond double braided hair
69.PNG,Pink double braided hair
70.PNG,White double braided hair
71.PNG,Blue double braided hair
72.PNG,Red double braided hair
73.PNG,Ginger double braided hair
74.PNG,Green double braided hair
75.PNG,Brown double braided hair
76.PNG,Black double braided hair
77.PNG,Rainbow double braided hair
78.PNG,Purple double braided hair
79.PNG,Blond messy hair
80.PNG,Pink messy hair
81.PNG,White messy hair
82.PNG,Blue messy hair
83.PNG,Red messy hair
84.PNG,Ginger messy hair
85.PNG,Green messy hair
86.PNG,Brown messy hair
87.PNG,Black messy hair
88.PNG,Flaming messy hair
89.PNG,Rainbow messy hair
90.PNG,Blond mid length hair
91.PNG,Pink mid length hair
92.PNG,White mid length hair
93.PNG,Blue mid length hair
94.PNG,Red mid length hair
95.PNG,Ginger mid length hair
96.PNG,Green mid length hair
97.PNG,Brown mid length hair
98.PNG,Black mid length hair
99.PNG,Rainbow mid length hair
100.PNG,Icy mid length hair
101.PNG,Blond long hair
102.PNG,Pink long hair
103.PNG,White long hair
104.PNG,Blue long hair
105.PNG,Red long hair
106.PNG,Ginger long hair
107.PNG,Green long hair
108.PNG,Brown long hair
109.PNG,Black long hair
110.PNG,Purple ombre long hair
111.PNG,Red ombre long hair
