file,trait_name
DEFAULT.PNG,Default mouth
01.PNG,Red smiling mouth
02.PNG,Green smiling mouth
03.PNG,Purple smiling mouth
04.PNG,Burgundy smiling mouth
05.PNG,Pink smiling mouth
06.PNG,Blue smiling mouth
07.PNG,Black smiling mouth
08.PNG,Red neutral mouth
09.PNG,Orange neutral mouth
10.PNG,Green neutral mouth
11.PNG,Blue neutral mouth
12.PNG,Purple neutral mouth
13.PNG,Pink neutral mouth
14.PNG,Black neutral mouth
15.PNG,Natural smirk mouth
16.PNG,Red smirk mouth
17.PNG,Orange smirk mouth
18.PNG,Green smirk mouth
19.PNG,Blue smirk mouth
20.PNG,Purple smirk mouth
21.PNG,Pink smirk mouth
22.PNG,Black smirk mouth
23.PNG,Natural open mouth
24.PNG,Red open mouth
25.PNG,Orange open mouth
26.PNG,Green open mouth
27.PNG,Blue open mouth
28.PNG,Purple open mouth
29.PNG,Pink open mouth
30.PNG,Black open mouth
31.PNG,Natural tongue mouth
32.PNG,Red tongue mouth
33.PNG,Green tongue mouth
34.PNG,Blue tongue mouth
35.PNG,Purple tongue mouth
36.PNG,Pink tongue mouth
37.PNG,Natural happy mouth
38.PNG,Red happy mouth
39.PNG,Orange happy mouth
40.PNG,Green happy mouth
41.PNG,Blue happy mouth
42.PNG,Purple happy mouth
43.PNG,Pink happy mouth
