file,trait_name
DEFAULT.PNG,Default clothes
01.PNG,Grey explorer jacket
02.PNG,Green explorer jacket
03.PNG,Orange explorer jacket
04.PNG,Blue explorer jacket
05.PNG,Black explorer jacket
06.PNG,Red explorer jacket
07.PNG,Grey technical jacket
08.PNG,Black stealth technical jacket
09.PNG,White technical jacket
10.PNG,Red technical jacket
11.PNG,Purple technical jacket
12.PNG,Blue technical jacket
13.PNG,Green technical jacket
14.PNG,Rainbow technical jacket
15.PNG,Green high collar jacket
16.PNG,Black stealth high collar jacket
17.PNG,White high collar jacket
18.PNG,Blue high collar jacket
19.PNG,Yellow high collar jacket
20.PNG,Burned high collar jacket
21.PNG,Red monogram high collar jacket
22.PNG,Rainbow monogram high collar jacket
23.PNG,Red tactical kimono
24.PNG,Black stealth tactical kimono
25.PNG,White tactical kimono
26.PNG,Red and white flame tactical kimono
27.PNG,Blue tactical kimono
28.PNG,Yellow tactical kimono
29.PNG,Green tactical kimono
30.PNG,Rainbow tactical kimono
31.PNG,Brown fur collar jacket
32.PNG,Black stealth fur collar jacket
33.PNG,Blue fur collar jacket
34.PNG,White fur collar jacket
35.PNG,Red monogram fur collar jacket
36.PNG,Green fur collar jacket
37.PNG,Pink fur collar jacket
38.PNG,Classic distinguished suit
39.PNG,Black distinguished suit
40.PNG,Red distinguished suit
41.PNG,Beige distinguished suit
42.PNG,White distinguished suit
43.PNG,Grey distinguished suit
44.PNG,Green distinguished suit
45.PNG,Wizard distinguished suit
46.PNG,Rainbow distinguished suit
47.PNG,Blue urban jacket
48.PNG,White urban jacket
49.PNG,Black stealth urban jacket
50.PNG,Yellow urban jacket
51.PNG,Purple urban jacket
52.PNG,Brown urban jacket
53.PNG,Red urban jacket
54.PNG,Flaming urban jacket
55.PNG,Black cyber jacket
56.PNG,Stealth cyber jacket
57.PNG,White cyber jacket
58.PNG,Red cyber jacket
59.PNG,Green cyber jacket
60.PNG,Blue cyber jacket
61.PNG,Pink cyber jacket
62.PNG,Rainbow cyber jacket
63.PNG,Black utility jacket
64.PNG,White utility jacket
65.PNG,Red utility jacket
66.PNG,Blue utility jacket
67.PNG,Black and white utility jacket
68.PNG,Green utility jacket
69.PNG,Burning utility jacket
70.PNG,Yellow athletic jacket
71.PNG,Red athletic jacket
72.PNG,Black athletic jacket
73.PNG,White athletic jacket
74.PNG,Green athletic jacket
75.PNG,Blue athletic jacket
76.PNG,Pink athletic jacket
77.PNG,Rainbow athletic jacket
78.PNG,Red mandarin collar jacket
79.PNG,Blue mandarin collar jacket
80.PNG,Yellow mandarin collar jacket
81.PNG,Green mandarin collar jacket
82.PNG,Black mandarin collar jacket
83.PNG,White mandarin collar jacket
84.PNG,Purple mandarin collar jacket
85.PNG,Burning mandarin collar jacket
86.PNG,Blue hooded bomber jacket
87.PNG,Red hooded bomber jacket
88.PNG,Blue hooded bomber jacket
89.PNG,Marine hooded bomber jacket
90.PNG,White hooded bomber jacket
91.PNG,Green hooded bomber jacket
92.PNG,Yellow hooded bomber jacket
93.PNG,Rainbow hooded bomber jacket
94.PNG,Red puffer jacket
95.PNG,Black puffer jacket
96.PNG,White puffer jacket
97.PNG,Brown monogram puffer jacket
98.PNG,Purple monogram puffer jacket
99.PNG,Green monogram puffer jacket
100.PNG,Blue monogram puffer jacket
101.PNG,Rainbow monogram puffer jacket
