file,trait_name
DEFAULT.PNG,Default eyes
01.PNG,Blue relaxed eyes
02.PNG,Purple relaxed eyes
03.PNG,Pink relaxed eyes
04.PNG,Red relaxed eyes
05.PNG,Green relaxed eyes
06.PNG,Yellow relaxed eyes
07.PNG,Blue piercing eyes
08.PNG,Green piercing eyes
09.PNG,Yellow piercing eyes
10.PNG,Red piercing eyes
11.PNG,Pink piercing eyes
12.PNG,Purple piercing eyes
13.PNG,Dreamy piercing eyes
14.PNG,Red determined eyes
15.PNG,Yellow determined eyes
16.PNG,Green determined eyes
17.PNG,Blue determined eyes
18.PNG,Purple determined eyes
19.PNG,Pink determined eyes
20.PNG,White determined eyes
21.PNG,Yellow chill eyes
22.PNG,Red chill eyes
23.PNG,Pink chill eyes
24.PNG,Purple chill eyes
25.PNG,Blue chill eyes
26.PNG,Green chill eyes
27.PNG,Rainbow chill eyes
28.PNG,Happy closed eyes
29.PNG,Neutral closed eyes
30.PNG,Blue winking eyes
31.PNG,Green winking eyes
32.PNG,Yellow winking eyes
33.PNG,Red winking eyes
34.PNG,Pink winking eyes
35.PNG,Purple winking eyes
36.PNG,Dreamy winking eyes
37.PNG,Red mature eyes
38.PNG,Pink mature eyes
39.PNG,Purple mature eyes
40.PNG,Blue mature eyes
41.PNG,Green mature eyes
42.PNG,Yellow mature eyes
43.PNG,Vairon mature eyes
44.PNG,Yellow hooded eyes
45.PNG,Red hooded eyes
46.PNG,Pink hooded eyes
47.PNG,Purple hooded eyes
48.PNG,Blue hooded eyes
49.PNG,Green hooded eyes
50.PNG,Black and white hooded eyes
51.PNG,Red warrior eyes
52.PNG,Pink warrior eyes
53.PNG,Purple warrior eyes
54.PNG,Blue warrior eyes
55.PNG,Green warrior eyes
56.PNG,Yellow warrior eyes
57.PNG,Flaming warrior eyes
