file,trait_name
DEFAULT.PNG,Default hair
01.PNG,Blond hero hair
02.PNG,Pink hero hair
03.PNG,White hero hair
04.PNG,Blue hero hair
05.PNG,Red hero hair
06.PNG,Ginger hero hair
07.PNG,Green hero hair
08.PNG,Brown hero hair
09.PNG,Black hero hair
10.PNG,Rainbow hero hair
11.PNG,Blond smart hair
12.PNG,Pink smart hair
13.PNG,White smart hair
14.PNG,Blue smart hair
15.PNG,Red smart hair
16.PNG,Ginger smart hair
17.PNG,Green smart hair
18.PNG,Brown smart hair
19.PNG,Black smart hair
20.PNG,Iridescent smart hair
21.PNG,Blond messy hair
22.PNG,Pink messy hair
23.PNG,White messy hair
24.PNG,Blue messy hair
25.PNG,Red messy hair
26.PNG,Ginger messy hair
27.PNG,Green messy hair
28.PNG,Brown messy hair
29.PNG,Black messy hair
30.PNG,Mint messy hair
31.PNG,Blond ronin hair
32.PNG,Pink ronin hair
33.PNG,White ronin hair
34.PNG,Blue ronin hair
35.PNG,Red ronin hair
36.PNG,Ginger ronin hair
37.PNG,Green ronin hair
38.PNG,Brown ronin hair
39.PNG,Black ronin hair
40.PNG,Emerald ronin hair
41.PNG,Blond slicked back hair
42.PNG,Pink slicked back hair
43.PNG,White slicked back hair
44.PNG,Blue slicked back hair
45.PNG,Red slicked back hair
46.PNG,Ginger slicked back hair
47.PNG,Green slicked back hair
48.PNG,Brown slicked back hair
49.PNG,Black slicked back hair
50.PNG,Ocean slicked back hair
51.PNG,Blond side part hair
52.PNG,Pink side part hair
53.PNG,White side part hair
54.PNG,Blue side part hair
55.PNG,Red side part hair
56.PNG,Ginger side part hair
57.PNG,Green side part hair
58.PNG,Brown side part hair
59.PNG,Black side part hair
60.PNG,Rainbow side part hair
61.PNG,Blond viking hair
62.PNG,Pink viking hair
63.PNG,White viking hair
64.PNG,Blue viking hair
65.PNG,Red viking hair
66.PNG,Ginger viking hair
67.PNG,Green viking hair
68.PNG,Brown viking hair
69.PNG,Black viking hair
70.PNG,Crimson viking hair
71.PNG,Rainbow viking hair
72.PNG,Blond caesar hair
73.PNG,Pink caesar hair
74.PNG,White caesar hair
75.PNG,Blue caesar hair
76.PNG,Red caesar hair
77.PNG,Ginger caesar hair
78.PNG,Green caesar hair
79.PNG,Brown caesar hair
80.PNG,Black caesar hair
81.PNG,Purple caesar hair
82.PNG,Blond mid part hair
83.PNG,Pink mid part hair
84.PNG,White mid part hair
85.PNG,Blue mid part hair
86.PNG,Red mid part hair
87.PNG,Ginger mid part hair
88.PNG,Green mid part hair
89.PNG,Brown mid part hair
90.PNG,Black mid part hair
91.PNG,Bleached mid part hair
92.PNG,Blond short dreadlocks hair
93.PNG,Pink short dreadlocks hair
94.PNG,White short dreadlocks hair
95.PNG,Blue short dreadlocks hair
96.PNG,Red short dreadlocks hair
97.PNG,Ginger short dreadlocks hair
98.PNG,Green short dreadlocks hair
99.PNG,Brown short dreadlocks hair
100.PNG,Black short dreadlocks hair
101.PNG,Coffee short dreadlocks hair
102.PNG,Two-tone blond short dreadlocks hair
103.PNG,Two-tone blue short dreadlocks hair
104.PNG,Blond basquiat hair
105.PNG,Pink basquiat hair
106.PNG,White basquiat hair
107.PNG,Blue basquiat hair
108.PNG,Red basquiat hair
109.PNG,Ginger basquiat hair
110.PNG,Green basquiat hair
111.PNG,Brown basquiat hair
112.PNG,Black basquiat hair
113.PNG,Burning basquiat hair
114.PNG,Blond manbun hair
115.PNG,Pink manbun hair
116.PNG,White manbun hair
117.PNG,Blue manbun hair
118.PNG,Red manbun hair
119.PNG,Ginger manbun hair
120.PNG,Green manbun hair
121.PNG,Brown manbun hair
122.PNG,Black manbun hair
123.PNG,Raibow manbun hair
124.PNG,Forest manbun hair
